AnimalID,DateTime_Intake,FoundLocation,IntakeType,IntakeCondition,AnimalType_Intake,SexuponIntake,AgeuponIntake,Breed_Intake,Color_Intake,DateTime_Outcome,DateofBirth,SexuponOutcome,AgeuponOutcome,binary_outcome,percent,Health_condition,SexOutcome,WildMammalsOrNot,DaysInShelter
A801051,7,Austin,Stray,Normal,Cat,Intact Female,43,Domestic Cat Breed,Pattern,10,6,Spayed Female,121,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A691399,11,Austin,Stray,Normal,Dog,Intact Female,730,Terrier Dog Breed,Pattern,11,11,Spayed Female,734,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A795934,5,Austin,Stray,Normal,Cat,Intact Female,30,Domestic Cat Breed,Bi color,11,4,Intact Female,192,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A706306,6,Austin,Stray,Injured,Cat,Intact Female,83,Domestic Cat Breed,Pattern,7,4,Intact Female,88,0.0,0.15552099533437014,Unhealthy,Intact,Not Wild Mammals,more than 3 days
A711401,9,Austin,Owner Surrender,Nursing,Dog,Intact Female,62,Toy Breed,Bi color,9,7,Spayed Female,64,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A806604,10,Creedmoor,Stray,Normal,Cat,Intact Female,273,Domestic Cat Breed,Pattern,10,1,Intact Female,277,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A745484,3,Austin,Stray,Normal,Cat,Unknown,6,Domestic Cat Breed,Pattern,3,3,Unknown,6,0.0,0.38314176245210724,Healthy,Unknown,Not Wild Mammals,0-1 days
A703942,5,Austin,Stray,Normal,Dog,Intact Female,365,Hound Dong Breed,Pattern,6,5,Spayed Female,369,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A710369,8,Austin,Stray,Normal,Dog,Intact Female,61,Working Dog Breed,Red series,8,6,Spayed Female,62,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A720719,2,Travis,Public Assist,Normal,Bird,Intact Male,365,Chicken,Bi color,3,2,Intact Male,388,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A709277,8,Austin,Stray,Normal,Cat,Intact Male,92,Domestic Cat Breed,Pattern,8,5,Intact Male,102,0.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A763671,12,Austin,Owner Surrender,Normal,Dog,Neutered Male,1522,Retriever Dog Breed,Brown series,12,10,Neutered Male,1530,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A766636,2,Del Valle,Owner Surrender,Normal,Cat,Intact Female,92,Domestic Cat Breed,Pattern,2,11,Spayed Female,96,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A733116,8,Austin,Stray,Normal,Cat,Intact Male,92,Domestic Cat Breed,Pattern,11,5,Neutered Male,182,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A790914,3,Austin,Owner Surrender,Normal,Dog,Intact Female,1461,Working Dog Breed,Pattern,4,3,Spayed Female,1501,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A725855,5,Manor,Stray,Normal,Dog,Intact Female,731,Working Dog Breed,Pattern,6,5,Spayed Female,783,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A476706,1,Austin,Owner Surrender,Normal,Dog,Neutered Male,3056,Working Dog Breed,Bi color,1,8,Neutered Male,3062,1.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A776777,7,Travis,Stray,Nursing,Dog,Unknown,1,Working Dog Breed,Black,7,7,Unknown,12,0.0,0.15552099533437014,Healthy,Unknown,Not Wild Mammals,more than 3 days
A790207,5,Austin,Owner Surrender,Normal,Cat,Neutered Male,1882,Domestic Cat Breed,Black,5,3,Neutered Male,1885,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A698664,3,Austin,Owner Surrender,Normal,Dog,Intact Male,730,Toy Breed,Bi color,3,3,Neutered Male,734,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A692239,11,Austin,Stray,Normal,Cat,Spayed Female,1826,Domestic Cat Breed,Pattern,11,11,Spayed Female,1826,0.0,0.38314176245210724,Healthy,Sterilized,Not Wild Mammals,0-1 days
A713916,10,Austin,Stray,Injured,Dog,Intact Female,1461,Toy Breed,Bi color,10,10,Spayed Female,1471,0.0,0.15552099533437014,Unhealthy,Sterilized,Not Wild Mammals,more than 3 days
A717912,12,Travis,Stray,Normal,Dog,Intact Male,61,Retriever Dog Breed,Brown series,12,10,Neutered Male,66,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A795202,5,Austin,Stray,Normal,Dog,Intact Male,242,Working Dog Breed,Bi color,5,9,Neutered Male,250,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A685986,8,Austin,Stray,Normal,Dog,Intact Male,3287,Terrier Dog Breed,White,8,8,Intact Male,3291,1.0,0.15552099533437014,Healthy,Intact,Not Wild Mammals,more than 3 days
A692124,11,Austin,Stray,Normal,Dog,Intact Male,365,Working Dog Breed,Bi color,11,11,Neutered Male,379,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A780786,9,Austin,Owner Surrender,Normal,Dog,Neutered Male,2363,Terrier Dog Breed,Pattern,9,4,Neutered Male,2365,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A763564,12,Austin,Owner Surrender,Normal,Dog,Intact Female,61,Toy Breed,Bi color,12,10,Spayed Female,63,0.0,1.1363636363636365,Healthy,Sterilized,Not Wild Mammals,2-3 days
A772538,5,Austin,Stray,Normal,Cat,Intact Male,39,Domestic Cat Breed,Pattern,6,4,Neutered Male,73,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A740378,12,Austin,Stray,Normal,Dog,Intact Female,168,Retriever Dog Breed,Black,12,7,Spayed Female,172,0.0,0.15552099533437014,Healthy,Sterilized,Not Wild Mammals,more than 3 days
A671024,1,Austin,Stray,Sick,Cat,Intact Female,365,Domestic Cat Breed,Bi color,1,1,Intact Female,365,1.0,0.38314176245210724,Unhealthy,Intact,Not Wild Mammals,0-1 days
A801521,8,Austin,Stray,Nursing,Cat,Intact Female,6,Domestic Cat Breed,Bi color,8,7,Intact Female,6,0.0,0.38314176245210724,Healthy,Intact,Not Wild Mammals,0-1 days
